Paikka_Id,KuntaNimi,Nimi,lat,lon
910,Ilomantsi,"Koitajoki, Möhkönkoski",62.643458513376686,31.299190273803482
1312,Muhos,Pyhäkoski,64.84592323427825,26.039275120713786
1197,Kristiinankaupunki,Perus,62.23848725895336,21.58201168431512
3544,Ii,Kivijoki,65.68556937218597,26.02468726382381
1038,Iitti,"Konnivesi, Vuolenkoski",61.07986259759245,26.18289526063295
2708,Seinäjoki,Varpulan tekojärvi,62.810796799695346,23.122292021892466
1326,Taivalkoski,"Kostonjärvi, pato",65.7502235873049,28.490662407091154
1310,Muhos,Pälli,64.84361545408096,26.194685757127036
1215,Alavus,Töysänjoki,62.608537416311826,23.65958888151135
1296,Kuhmo,Kellojärvi - luusua,64.21311690770834,29.022581479742595
3033,Kouvola,Myllykoski,60.76759481237958,26.77212014448913
1308,Utajärvi,Utanen,64.7361695424762,26.478337610727863
1201,Närpiö,Allmänningsforsen,62.508877398994805,21.37126361509921
3030,Kotka,Pihkoo,60.52067490662531,26.860324988257645
921,Kontiolahti,"Pielisjoki, Kuurna",62.70487966853008,29.874912668738236
1200,Kristiinankaupunki,Puskamarkki,62.315239216796215,21.52106488839932
1043,Mikkeli,Iso-Naakkima - luusua,62.1772110137793,27.133044550738482
3536,Lapua,"Hourunkoski, kokonaisvirtaama",62.95141034186617,23.14080633019957
1292,Kuhmo,Lentua - luusua,64.190254123101,29.583844339786125
1342,Oulu,Maalismaa,65.30640366623888,25.679342242669936
1163,Nokia,Nokia,61.46248372126024,23.43681555508893
941,Sonkajärvi,"Kiltuanjärvi, Jyrkkä",63.77726591815342,27.80855748854287
3406,Vihti,Olkkalanjoki,60.44490680563735,24.35261894483893
907,Valtimo,"Valtimonjoki, Nuolikoski",63.70841363949765,28.757570162153787
3044,Lohja,"Nummenjoki, Pirkkula mts",60.38533699634422,23.936168411135426
2687,Kurikka,Jalasjoen säänn.pato,62.58230058145715,22.46546823006768
1341,Oulu,"Siuruanjoki, Leuvankoski",65.40501852490108,25.860279744956088
1166,Parkano,Käenkoski,62.03244542923794,23.04354083421237
2723,Perho,Yrttikosken säänn. Pato,63.31389843134695,24.11483781776661
1024,Jämsä,Patalankoski,61.9226952105012,25.16015353377032
993,Äänekoski,"Pyhäjärvi, Parantala",62.64136360274415,25.499304147456517
1227,Evijärvi,Kattilakoski,63.47015012358758,23.306248420232983
1289,Paltamo,Kivesjärvi - luusua,64.40679552785639,27.506229972893014
1340,Oulu,Kierikki,65.35921387303813,25.912052939568834
1160,Tampere,Tammerkoski,61.50027683471375,23.76288259425061
1344,Ii,Raasakka,65.33485094184938,25.41126774092144
2685,Kurikka,Kauhajoen säänn.pato,62.58690014403509,22.376453132664558
1046,Hirvensalmi,"Liekune, Kissakoski",61.624122144938354,26.747931606900806
1349,Simo,Simo,65.66535525186885,25.08941332277071
